_airbyte_raw_id,_airbyte_extracted_at,first_actor,rating,total_votes,title,year
019c19e3-61c2-7163-8029-807e13c1ab31,2026-02-01 15:47:28.161+00,Warner Baxter,5.8,576,In Old Arizona,1928
019c19e3-61c2-78fc-9058-2d5c27977f60,2026-02-01 15:47:28.161+00,Gloria Swanson,7.9,2556,Queen Kelly,1929
019c19e3-61c4-7a8b-a181-5f15a71b8780,2026-02-01 15:47:28.161+00,Chester Morris,7.2,1161,The Big House,1930
019c19e3-61c4-727b-a062-357d6596e236,2026-02-01 15:47:28.161+00,John Wayne,7.3,2312,The Big Trail,1930
019c19e3-61c5-74cd-bfcc-6e1d56e0e263,2026-02-01 15:47:28.161+00,Harry Baur,6.7,63,David Golder,1931
019c19e3-6ad5-7477-a3f3-b4c678d54d2a,2026-02-01 15:47:28.161+00,Boris Barkhatov,7.8,248,Seryozha,1960
019c19e3-61c6-78ce-b9ad-5a5a41e288ff,2026-02-01 15:47:28.161+00,Norma Shearer,6.9,1740,The Divorcee,1930
019c19e3-61c7-7b41-b385-d040a74daa6c,2026-02-01 15:47:28.161+00,Ronald Colman,6.7,268,The Devil to Pay!,1930
019c19e3-61c7-7cc3-bb44-8f8786e490c3,2026-02-01 15:47:28.161+00,Paul Whiteman,7.5,387,King of Jazz,1930
019c19e3-61c8-7999-aa6c-aea033f55358,2026-02-01 15:47:28.161+00,Edward G. Robinson,7.4,8049,Little Caesar,1931
019c19e3-61c9-7cc0-88e2-63dbb86ff0ef,2026-02-01 15:47:28.161+00,Kenneth MacKenna,5.8,154,Men Without Women,1930
019c19e3-61ca-74f3-a4b0-c56b1db15105,2026-02-01 15:47:28.161+00,Gary Cooper,7.3,3566,Morocco,1930
019c19e3-61cb-78dc-9e53-5c6db8f0b4ad,2026-02-01 15:47:28.161+00,Greta Garbo,6,379,Romance,1930
019c19e3-61cb-7c05-9c78-1bc403a750a7,2026-02-01 15:47:28.161+00,Fritz Kampers,7.5,746,Westfront 1918,1930
